Daily report: CIRIS Morning Report              Generated 05/02/2012 14:43
Report period: from  05/01/2012 05:00  to  05/02/2012 05:00

Rtu Name,Rtu ID  ,Rtu#,Diff-P,Line-P,Line-T,   Water,  Flow,FlowTm,WtrLvl,Casing,DownHP, MMBTU,
,,,                      inch,  psig,     F,    brls,   mcf, hh:mm,  Feet,  psig,  psig,mmbtuD,

State 16-7                    ,STATCHEK    ,3511,     0, 0.075,53.604, 0.000, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  11: Total Gas Production:  0.000 mcf    0.000 MMBTU   Total Water: 0.000 brls

Federal 32-17                 ,32174174    ,0246,     0, 0.110,54.703, 0.115, 0.000, 00:00,46.000,-0.059,10.014, 0.000,
Federal 43-17                 ,43174174    ,0247,     0, 0.000,56.522, 0.000, 0.000, 00:00,80.000, 0.000,17.724, 0.000,
Federal 21-7                  ,21074174    ,0305,14.649, 4.147,103.934, 0.000,35.993, 24:00,32.000,-9.621,-2.521,33.653,
Diamond T 12-3                ,12034174    ,0306,35.816, 8.270,104.297, 8.566,39.497, 24:00,13.979,-9.079,-6.090,36.337,
Federal 41-7                  ,41074174    ,0307, 4.144,12.277,98.092, 0.000,14.975, 24:00,79.882,-9.391, 8.009,13.762,
Nine Mile 21-33               ,21334274    ,0308,16.214,11.420,113.164, 0.000,66.078, 24:00, 6.000,-7.486,-5.914,61.783,
Nine Mile 41-33               ,41334274    ,0309,34.773, 9.550,108.065, 0.000,40.155, 24:00,41.529,-9.313,-0.181,36.340,
Nine Mile 12-34               ,12344274    ,0310,11.234, 7.246,103.792, 0.000,21.633, 24:00,43.969,-9.657,-0.044,19.448,
Nine Mile 32-33               ,32334274    ,0311,19.470, 9.171,107.718, 0.000,29.816, 24:00, 0.000,-9.378,-15.000,26.865,
Nine Mile 23-34               ,23344274    ,0312,11.448, 9.762,106.213, 0.000,23.261, 24:00,26.000,-9.705,-3.846,21.214,
Nine Mile 14-34               ,14344274    ,0313,11.135, 5.997,106.119, 0.000,20.938, 24:00,44.000,-9.683, 0.016,19.201,
Nine Mile 21-34               ,21344274    ,0315,21.524, 9.589,99.912, 0.000,31.629, 24:00,39.053,-8.611,-0.009,28.530,
Nine Mile 14-27               ,14274274    ,0316,     0, 0.000,51.885, 0.000, 0.000, 00:00,74.341,-4.659,11.578, 0.000,
Nine Mile 23-27               ,23274274    ,0317,     0, 0.065,54.822, 0.000, 0.000, 00:00, 0.000, 0.094,-4.758, 0.000,
Nine Mile 21-27               ,21274274    ,0318,17.874,12.675,106.234, 0.000,17.494, 24:00,17.621,-9.977,-6.007,15.692,
Nine Mile 12-27               ,12274274    ,0320,26.813, 9.519,110.104, 0.000,19.925, 24:00,37.743,-10.019,-1.748,18.172,
Federal 23-3                  ,23034174    ,0322,     0, 0.332,74.449, 0.000, 0.000, 00:00,31.363,-1.213, 5.849, 0.000,
Diamond T 21-3                ,21034174    ,0323,19.971,10.504,109.089, 6.114,31.030, 24:00,36.412,-9.185,-1.095,28.361,
Federal 14-3                  ,14034174    ,0325,     0, 0.110,51.936, 0.000, 0.000, 00:00,22.000, 0.014, 4.873, 0.000,
Diamond T 32-3                ,32034174    ,0326,     0, 0.162,96.929, 0.000, 0.000, 00:00,10.000,-0.006, 2.376, 0.000,
Diamond T 41-3                ,41034174    ,0327,22.337,14.570,103.272, 0.000,36.045, 24:00, 6.000,-7.959,-6.323,33.125,
Diamond T 34-34               ,34344274    ,3516,32.581, 7.680,97.956,17.057,20.872, 24:00,11.228,-9.689,-7.228,19.077,
Diamond T 43-34               ,43344274    ,3517,18.142,10.477,96.903, 0.000,16.818, 24:00,16.005,-9.362,-5.696,15.338,
Diamond T 32-34               ,32344274    ,3518,15.609,13.058,97.750,14.507,29.067, 24:00,10.077,-8.346,-6.023,26.363,
Diamond T 41-34               ,41344274    ,3519,24.334,14.627,97.674,20.363,21.164, 24:00, 0.000, 0.367,-15.000,19.408,
Diamond T 21-35               ,21354274    ,3520,     0, 0.049,107.916, 0.000, 0.000, 00:00,148.745, 0.048,32.477, 0.000,
Diamond T 12-35               ,12354274    ,3521,15.513,11.722,95.509, 0.000,16.179, 24:00,76.508,-14.981, 1.750,14.949,
Diamond T 14-35               ,14354274    ,3635,13.750,12.772,99.293, 0.000,27.672, 24:00,35.294,-8.192,-0.355,25.431,
Diamond T 23-35               ,23354274    ,3636,33.402,13.299,101.347, 0.000,43.056, 24:00,22.550,-7.737,-2.614,39.655,
Federal 41-9                  ,41094174    ,5206,32.346, 7.123,94.499, 0.000,20.388, 24:00,28.614,-9.541,-3.142,19.369,
Section  12: Total Gas Production: 1209.414 mcf   1110.358 MMBTU   Total Water:399.502 brls

Walker Creek 14-1             ,14014175    ,0159,     0, 0.000,56.750, 0.000, 0.000, 00:00,52.000,-15.000,-3.529, 0.000,
Walker Creek 34-2             ,34024175    ,0160,22.576, 7.485,101.167, 0.000,17.010, 24:00,26.000,-9.828,-3.950,15.088,
Walker Creek 44-2             ,44024175    ,0161,16.314, 7.141,99.459,36.952,14.363, 24:00,56.221,-9.607, 2.848,12.625,
Walker Creek 41-11            ,41114175    ,0162,25.803, 8.750,100.346, 0.000,18.945, 24:00,34.000,-9.800,-2.265,17.013,
Federal 23-1                  ,23014175    ,0184,10.441, 6.513,104.348, 0.914,20.277, 24:00,91.961,-15.000, 5.128,18.108,
Federal 32-1                  ,32014175    ,0185,     0, 0.047,52.374, 0.000, 0.000, 00:00, 0.000,-0.091,-1.876, 0.000,
Federal 41-1                  ,41014175    ,0186, 9.282, 6.549,92.867, 0.000,11.149, 24:00,26.273,-10.075,-4.070,10.246,
Federal 21-1                  ,21014175    ,0187,     0, 0.000,53.455, 0.000, 0.000, 00:00,101.492,-15.000, 7.141, 0.000,
Federal 12-1                  ,12014175    ,0188,     0, 0.061,53.958, 0.000, 0.000, 00:00,49.787,-0.798,10.173, 0.000,
Federal 43-1                  ,43014175    ,0189,10.590, 5.812,92.209, 0.000,11.475, 24:00,89.650,-10.128, 9.493,10.430,
Federal 21-12                 ,21124175    ,0190,26.346,12.098,102.615,74.143,20.697, 24:00,43.938,-8.829, 0.850,18.835,
Federal 34-1                  ,34014175    ,0191,     0, 0.105,54.737, 0.000, 0.000, 00:00, 0.000,-0.130,-15.000, 0.000,
